stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,geometry
6,,Köln Rathaus,,50.938467,6.959697,,,0,,,POINT (6.959697 50.938467)
7,,Köln Appellhofplatz,,50.939972,6.950437,,,0,,,POINT (6.950437 50.939972)
8,,Köln Hbf,,50.943033,6.958724,,,0,,,POINT (6.958724 50.943033)
9,,Köln Breslauer Platz/Hbf,,50.943657,6.959362,,,0,,,POINT (6.959362 50.943657)
30,,Köln Friesenplatz,,50.940533,6.939977,,,0,,,POINT (6.939977 50.940533)
31,,Köln West Bf,,50.943661,6.934391,,,0,,,POINT (6.934391 50.943661)
32,,Köln Christophstr./Mediapark,,50.944702,6.942437,,,0,,,POINT (6.942437 50.944702)
34,,Köln Reichenspergerplatz,,50.954025,6.964301,,,0,,,POINT (6.964301 50.954025)
35,,Köln Ebertplatz,,50.950619,6.958794,,,0,,,POINT (6.958794 50.950619)
36,,Köln Hansaring,,50.949124,6.952559,,,0,,,POINT (6.952559 50.949124)
37,,Köln Worringer Str.,,50.955373,6.967659,,,0,,,POINT (6.967659 50.955373)
38,,Köln Krefelder Wall,,50.954247,6.950373,,,0,,,POINT (6.950373 50.954247)
41,,Köln Messe/Deutz Bf,,50.940875,6.974998,,,0,,,POINT (6.974998 50.940875)
51,,Köln im Rheinpark,,50.945819,6.975002,,,0,,,POINT (6.975002 50.945819)
182,,Köln Melatengürtel,,50.939855,6.910982,,,0,,,POINT (6.910982 50.939855)
236,,Köln Piusstr.,,50.945995,6.925787,,,0,,,POINT (6.925787 50.945995)
237,,Köln Körnerstr.,,50.948295,6.920311,,,0,,,POINT (6.920311 50.948295)
238,,Köln Gutenbergstr.,,50.950362,6.928278,,,0,,,POINT (6.928278 50.950362)
239,,Köln Liebigstr.,,50.952319,6.924148,,,0,,,POINT (6.924148 50.952319)
245,,Köln Subbelrather Str./Gürtel,,50.95467,6.921234,,,0,,,POINT (6.921234 50.95467)
246,,Köln Nußbaumerstr.,,50.956997,6.923586,,,0,,,POINT (6.923586 50.956997)
247,,Köln Lenauplatz,,50.958558,6.918322,,,0,,,POINT (6.918322 50.958558)
249,,Köln Iltisstr.,,50.965215,6.912019,,,0,,,POINT (6.912019 50.965215)
250,,Köln Butzweilerstr.,,50.968785,6.916417,,,0,,,POINT (6.916417 50.968785)
251,,Köln Venloer Str./Gürtel,,50.950166,6.916705,,,0,,,POINT (6.916705 50.950166)
253,,Köln Geisselstr.,,50.943452,6.916573,,,0,,,POINT (6.916573 50.943452)
254,,Köln Weinsbergstr./Gürtel,,50.945118,6.912721,,,0,,,POINT (6.912721 50.945118)
255,,Köln Leyendeckerstr.,,50.954426,6.909943,,,0,,,POINT (6.909943 50.954426)
257,,Köln Bf Deutz/Messeplatz,,50.941888,6.973184,,,0,,,POINT (6.973184 50.941888)
303,,Köln Neusser Str./Gürtel,,50.972326,6.951354,,,0,,,POINT (6.951354 50.972326)
304,,Köln Florastr.,,50.965035,6.953611,,,0,,,POINT (6.953611 50.965035)
305,,Köln Lohsestr.,,50.958091,6.955248,,,0,,,POINT (6.955248 50.958091)
306,,Köln Nordstr.,,50.967818,6.953027,,,0,,,POINT (6.953027 50.967818)
307,,Köln Leipziger Platz,,50.966474,6.955719,,,0,,,POINT (6.955719 50.966474)
308,,Köln Niehler Str.,,50.967545,6.958858,,,0,,,POINT (6.958858 50.967545)
309,,Köln Kretzerstr.,,50.966985,6.963502,,,0,,,POINT (6.963502 50.966985)
310,,Köln Bergstr.,,50.973491,6.946281,,,0,,,POINT (6.946281 50.973491)
311,,Köln Sechzigstr.,,50.958248,6.944761,,,0,,,POINT (6.944761 50.958248)
312,,Köln Merheimer Platz,,50.957919,6.949864,,,0,,,POINT (6.949864 50.957919)
313,,Köln Zoo/Flora,,50.957376,6.97328,,,0,,,POINT (6.97328 50.957376)
316,,Köln Kinderkrankenhaus,,50.963223,6.968392,,,0,,,POINT (6.968392 50.963223)
317,,Köln Amsterdamer Str./Gürtel,,50.97084,6.969106,,,0,,,POINT (6.969106 50.97084)
318,,Köln Bodinusstr.,,50.961461,6.973821,,,0,,,POINT (6.973821 50.961461)
319,,Köln Riehler Gürtel,,50.964647,6.976607,,,0,,,POINT (6.976607 50.964647)
323,,Köln Xantener Str.,,50.966187,6.968681,,,0,,,POINT (6.968681 50.966187)
325,,Köln Geldernstr./Parkgürtel,,50.96855,6.941411,,,0,,,POINT (6.941411 50.96855)
326,,Köln Escher Str.,,50.964566,6.933786,,,0,,,POINT (6.933786 50.964566)
327,,Köln Nievenheimer Str.,,50.962734,6.940283,,,0,,,POINT (6.940283 50.962734)
328,,Köln Ludwigsburger Str.,,50.965675,6.940143,,,0,,,POINT (6.940143 50.965675)
329,,Köln Frankenthaler Str.,,50.96897,6.936195,,,0,,,POINT (6.936195 50.96897)
330,,Köln Ebernburgweg,,50.969065,6.932139,,,0,,,POINT (6.932139 50.969065)
331,,Köln Alzeyer Str.,,50.97015,6.926822,,,0,,,POINT (6.926822 50.97015)
332,,Köln am Bilderstöckchen,,50.973209,6.925346,,,0,,,POINT (6.925346 50.973209)
334,,Köln Robert-Perthel-Str.,,50.980463,6.918584,,,0,,,POINT (6.918584 50.980463)
336,,Köln Mollwitzstr.,,50.978261,6.948798,,,0,,,POINT (6.948798 50.978261)
338,,Köln Nordfriedhof,,50.975912,6.945917,,,0,,,POINT (6.945917 50.975912)
339,,Köln Nibelungenplatz,,50.974942,6.939077,,,0,,,POINT (6.939077 50.974942)
340,,Köln Schmiedegasse,,50.977108,6.935761,,,0,,,POINT (6.935761 50.977108)
341,,Köln Etzelstr.,,50.9783,6.931741,,,0,,,POINT (6.931741 50.9783)
345,,Köln Friedrich-Karl-Str.,,50.974648,6.959816,,,0,,,POINT (6.959816 50.974648)
346,,Köln Drosselweg,,50.977031,6.960734,,,0,,,POINT (6.960734 50.977031)
347,,Köln Weidenpescher Str.,,50.979688,6.963452,,,0,,,POINT (6.963452 50.979688)
352,,Köln Niehl Betriebshof Nord,,50.974889,6.973006,,,0,,,POINT (6.973006 50.974889)
646,,Köln Barbarastr.,,50.969089,6.978608,,,0,,,POINT (6.978608 50.969089)
653,,Köln Ebertplatz/Riehler Str.,,50.950474,6.958905,,,0,,,POINT (6.958905 50.950474)
750,,Köln Nippes S-Bahn,,50.958669,6.941596,,,0,,,POINT (6.941596 50.958669)
752,,Köln Dom/Hbf,,50.941806,6.957062,,,0,,,POINT (6.957062 50.941806)
756,,Köln Innere Kanalstr.,,50.940546,6.923686,,,0,,,POINT (6.923686 50.940546)
768,,Köln Schadowstr.,,50.953613,6.927617,,,0,,,POINT (6.927617 50.953613)
769,,Köln Methweg,,50.95675,6.935479,,,0,,,POINT (6.935479 50.95675)
770,,Köln Schirmerstr.,,50.954459,6.929726,,,0,,,POINT (6.929726 50.954459)
771,,Köln Mechternstr.,,50.94259,6.918719,,,0,,,POINT (6.918719 50.94259)
772,,Köln Pettenkoferstr.,,50.956124,6.93393,,,0,,,POINT (6.93393 50.956124)
773,,Köln Mülhauser Str.,,50.975185,6.930084,,,0,,,POINT (6.930084 50.975185)
789,,Köln Trifelsstr.,,50.972646,6.933991,,,0,,,POINT (6.933991 50.972646)
802,,Köln Bf Deutz/Messe Lanxess Arena,,50.939594,6.978799,,,0,,,POINT (6.978799 50.939594)
815,,Köln Osterather Str.,,50.958526,6.939344,,,0,,,POINT (6.939344 50.958526)
818,,Köln Nesselrodestr.,,50.976964,6.968877,,,0,,,POINT (6.968877 50.976964)
819,,Köln Sprengelstr.,,50.96864,6.968875,,,0,,,POINT (6.968875 50.96864)
820,,Köln Niehler Kirchweg,,50.974142,6.955691,,,0,,,POINT (6.955691 50.974142)
822,,Köln Pasteurstr.,,50.971549,6.976823,,,0,,,POINT (6.976823 50.971549)
824,,Köln St. Vinzenz-Hospital,,50.96546,6.946658,,,0,,,POINT (6.946658 50.96546)
825,,Köln Wilhelmstr.,,50.961831,6.951865,,,0,,,POINT (6.951865 50.961831)
826,,Köln Cranachstr.,,50.961166,6.95403,,,0,,,POINT (6.95403 50.961166)
833,,Köln Lessingstr.,,50.955715,6.915234,,,0,,,POINT (6.915234 50.955715)
835,,Köln Bf Ehrenfeld,,50.951528,6.917273,,,0,,,POINT (6.917273 50.951528)
836,,Köln Takustr.,,50.957137,6.911605,,,0,,,POINT (6.911605 50.957137)
837,,Köln Zonser Str.,,50.958806,6.949185,,,0,,,POINT (6.949185 50.958806)
838,,Köln Grüner Hof,,50.975155,6.949404,,,0,,,POINT (6.949404 50.975155)
849,,Köln Franziska-Anneke-Str.,,50.972129,6.914077,,,0,,,POINT (6.914077 50.972129)
860,,Köln Longericher Str./Etzelstr.,,50.9778,6.927915,,,0,,,POINT (6.927915 50.9778)
867,,Köln Hans-Böckler-Platz/Bf West,,50.943227,6.9336,,,0,,,POINT (6.9336 50.943227)
885,,Köln Neven Dumont Haus,,50.974397,6.969493,,,0,,,POINT (6.969493 50.974397)
900,,Köln Cöllnparc,,50.977024,6.921492,,,0,,,POINT (6.921492 50.977024)
971,,Köln auf Dem Berlich,,50.94107,6.948126,,,0,,,POINT (6.948126 50.94107)
972,,Köln Lokomotivstr.,,50.966997,6.944483,,,0,,,POINT (6.944483 50.966997)
7394,,Köln St. Vincenz-Haus,,50.948831,6.965246,,,0,,,POINT (6.965246 50.948831)
